"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Germany (DE)","03.01.2017 23:15 - 03.01.2017 23:30 (CET/CEST)","1045"
"Germany (DE)","03.01.2017 23:30 - 03.01.2017 23:45 (CET/CEST)","1043"
"Germany (DE)","03.01.2017 23:45 - 04.01.2017 00:00 (CET/CEST)","1045"
"Germany (DE)","04.01.2017 00:00 - 04.01.2017 00:15 (CET/CEST)","1042"
"Germany (DE)","04.01.2017 00:15 - 04.01.2017 00:30 (CET/CEST)","1039"
"Germany (DE)","04.01.2017 00:30 - 04.01.2017 00:45 (CET/CEST)","1034"
"Germany (DE)","04.01.2017 00:45 - 04.01.2017 01:00 (CET/CEST)","1034"
"Germany (DE)","04.01.2017 01:00 - 04.01.2017 01:15 (CET/CEST)","1033"
"Germany (DE)","04.01.2017 01:15 - 04.01.2017 01:30 (CET/CEST)","1030"
"Germany (DE)","04.01.2017 01:30 - 04.01.2017 01:45 (CET/CEST)","1030"
"Germany (DE)","04.01.2017 01:45 - 04.01.2017 02:00 (CET/CEST)","1028"
"Germany (DE)","04.01.2017 02:00 - 04.01.2017 02:15 (CET/CEST)","1030"
"Germany (DE)","04.01.2017 02:15 - 04.01.2017 02:30 (CET/CEST)","1026"
"Germany (DE)","04.01.2017 02:30 - 04.01.2017 02:45 (CET/CEST)","1027"
"Germany (DE)","04.01.2017 02:45 - 04.01.2017 03:00 (CET/CEST)","1026"
"Germany (DE)","04.01.2017 03:00 - 04.01.2017 03:15 (CET/CEST)","1024"
