"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Spain (ES)","04.01.2018 22:00 - 04.01.2018 23:00 (CET/CEST)","","437","2043"
"Spain (ES)","04.01.2018 23:00 - 05.01.2018 00:00 (CET/CEST)","","808","1621"
"Spain (ES)","05.01.2018 00:00 - 05.01.2018 01:00 (CET/CEST)","","1726","1559"
"Spain (ES)","05.01.2018 01:00 - 05.01.2018 02:00 (CET/CEST)","","3024","1191"
"Spain (ES)","05.01.2018 02:00 - 05.01.2018 03:00 (CET/CEST)","","3660","1008"
"Spain (ES)","05.01.2018 03:00 - 05.01.2018 04:00 (CET/CEST)","","3649","940"
"Spain (ES)","05.01.2018 04:00 - 05.01.2018 05:00 (CET/CEST)","","3637","979"
"Spain (ES)","05.01.2018 05:00 - 05.01.2018 06:00 (CET/CEST)","","3414","929"
"Spain (ES)","05.01.2018 06:00 - 05.01.2018 07:00 (CET/CEST)","","2459","1123"
"Spain (ES)","05.01.2018 07:00 - 05.01.2018 08:00 (CET/CEST)","","1006","1437"
"Spain (ES)","05.01.2018 08:00 - 05.01.2018 09:00 (CET/CEST)","","771","1663"
"Spain (ES)","05.01.2018 09:00 - 05.01.2018 10:00 (CET/CEST)","","356","2264"
"Spain (ES)","05.01.2018 10:00 - 05.01.2018 11:00 (CET/CEST)","","202","2309"
"Spain (ES)","05.01.2018 11:00 - 05.01.2018 12:00 (CET/CEST)","","55","2823"
"Spain (ES)","05.01.2018 12:00 - 05.01.2018 13:00 (CET/CEST)","","0","2776"
"Spain (ES)","05.01.2018 13:00 - 05.01.2018 14:00 (CET/CEST)","","0","2541"
"Spain (ES)","05.01.2018 14:00 - 05.01.2018 15:00 (CET/CEST)","","0","2306"
"Spain (ES)","05.01.2018 15:00 - 05.01.2018 16:00 (CET/CEST)","","112","2021"
"Spain (ES)","05.01.2018 16:00 - 05.01.2018 17:00 (CET/CEST)","","72","2849"
"Spain (ES)","05.01.2018 17:00 - 05.01.2018 18:00 (CET/CEST)","","0","4020"
"Spain (ES)","05.01.2018 18:00 - 05.01.2018 19:00 (CET/CEST)","","0","4492"
"Spain (ES)","05.01.2018 19:00 - 05.01.2018 20:00 (CET/CEST)","","1","4660"
"Spain (ES)","05.01.2018 20:00 - 05.01.2018 21:00 (CET/CEST)","","0","5135"
"Spain (ES)","05.01.2018 21:00 - 05.01.2018 22:00 (CET/CEST)","","1","5019"
"Spain (ES)","05.01.2018 22:00 - 05.01.2018 23:00 (CET/CEST)","","1","4417"
"Spain (ES)","05.01.2018 23:00 - 06.01.2018 00:00 (CET/CEST)","","40","3664"
"Spain (ES)","06.01.2018 00:00 - 06.01.2018 01:00 (CET/CEST)","","332","3086"
"Spain (ES)","06.01.2018 01:00 - 06.01.2018 02:00 (CET/CEST)","","398","2616"
"Spain (ES)","06.01.2018 02:00 - 06.01.2018 03:00 (CET/CEST)","","487","2053"
"Spain (ES)","06.01.2018 03:00 - 06.01.2018 04:00 (CET/CEST)","","545","1498"
"Spain (ES)","06.01.2018 04:00 - 06.01.2018 05:00 (CET/CEST)","","890","1132"
"Spain (ES)","06.01.2018 05:00 - 06.01.2018 06:00 (CET/CEST)","","968","1198"
"Spain (ES)","06.01.2018 06:00 - 06.01.2018 07:00 (CET/CEST)","","1020","1153"
"Spain (ES)","06.01.2018 07:00 - 06.01.2018 08:00 (CET/CEST)","","594","1428"
"Spain (ES)","06.01.2018 08:00 - 06.01.2018 09:00 (CET/CEST)","","668","1501"
"Spain (ES)","06.01.2018 09:00 - 06.01.2018 10:00 (CET/CEST)","","49","1944"
"Spain (ES)","06.01.2018 10:00 - 06.01.2018 11:00 (CET/CEST)","","1","2996"
"Spain (ES)","06.01.2018 11:00 - 06.01.2018 12:00 (CET/CEST)","","1","3984"
"Spain (ES)","06.01.2018 12:00 - 06.01.2018 13:00 (CET/CEST)","","0","4310"
"Spain (ES)","06.01.2018 13:00 - 06.01.2018 14:00 (CET/CEST)","","0","3820"
"Spain (ES)","06.01.2018 14:00 - 06.01.2018 15:00 (CET/CEST)","","0","3118"
"Spain (ES)","06.01.2018 15:00 - 06.01.2018 16:00 (CET/CEST)","","1","1866"
"Spain (ES)","06.01.2018 16:00 - 06.01.2018 17:00 (CET/CEST)","","0","1605"
"Spain (ES)","06.01.2018 17:00 - 06.01.2018 18:00 (CET/CEST)","","0","1711"
