"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Spain (ES)","06.01.2022 00:00 - 06.01.2022 01:00 (CET/CEST)","1138"
"Spain (ES)","06.01.2022 01:00 - 06.01.2022 02:00 (CET/CEST)","1115"
"Spain (ES)","06.01.2022 02:00 - 06.01.2022 03:00 (CET/CEST)","1112"
"Spain (ES)","06.01.2022 03:00 - 06.01.2022 04:00 (CET/CEST)","1136"
"Spain (ES)","06.01.2022 04:00 - 06.01.2022 05:00 (CET/CEST)","1144"
"Spain (ES)","06.01.2022 05:00 - 06.01.2022 06:00 (CET/CEST)","1133"
"Spain (ES)","06.01.2022 06:00 - 06.01.2022 07:00 (CET/CEST)","1109"
"Spain (ES)","06.01.2022 07:00 - 06.01.2022 08:00 (CET/CEST)","1130"
"Spain (ES)","06.01.2022 08:00 - 06.01.2022 09:00 (CET/CEST)","1190"
"Spain (ES)","06.01.2022 09:00 - 06.01.2022 10:00 (CET/CEST)","1093"
"Spain (ES)","06.01.2022 10:00 - 06.01.2022 11:00 (CET/CEST)","1143"
"Spain (ES)","06.01.2022 11:00 - 06.01.2022 12:00 (CET/CEST)","1121"
"Spain (ES)","06.01.2022 12:00 - 06.01.2022 13:00 (CET/CEST)","1132"
"Spain (ES)","06.01.2022 13:00 - 06.01.2022 14:00 (CET/CEST)","1114"
"Spain (ES)","06.01.2022 14:00 - 06.01.2022 15:00 (CET/CEST)","1138"
"Spain (ES)","06.01.2022 15:00 - 06.01.2022 16:00 (CET/CEST)","1090"
"Spain (ES)","06.01.2022 16:00 - 06.01.2022 17:00 (CET/CEST)","1172"
"Spain (ES)","06.01.2022 17:00 - 06.01.2022 18:00 (CET/CEST)","1280"
"Spain (ES)","06.01.2022 18:00 - 06.01.2022 19:00 (CET/CEST)","1314"
"Spain (ES)","06.01.2022 19:00 - 06.01.2022 20:00 (CET/CEST)","1310"
"Spain (ES)","06.01.2022 20:00 - 06.01.2022 21:00 (CET/CEST)","1320"
"Spain (ES)","06.01.2022 21:00 - 06.01.2022 22:00 (CET/CEST)","1307"
"Spain (ES)","06.01.2022 22:00 - 06.01.2022 23:00 (CET/CEST)","1289"
"Spain (ES)","06.01.2022 23:00 - 07.01.2022 00:00 (CET/CEST)","1187"
"Spain (ES)","07.01.2022 00:00 - 07.01.2022 01:00 (CET/CEST)","1143"
"Spain (ES)","07.01.2022 01:00 - 07.01.2022 02:00 (CET/CEST)","1034"
"Spain (ES)","07.01.2022 02:00 - 07.01.2022 03:00 (CET/CEST)","1019"
"Spain (ES)","07.01.2022 03:00 - 07.01.2022 04:00 (CET/CEST)","1015"
"Spain (ES)","07.01.2022 04:00 - 07.01.2022 05:00 (CET/CEST)","1010"
"Spain (ES)","07.01.2022 05:00 - 07.01.2022 06:00 (CET/CEST)","1015"
"Spain (ES)","07.01.2022 06:00 - 07.01.2022 07:00 (CET/CEST)","1044"
"Spain (ES)","07.01.2022 07:00 - 07.01.2022 08:00 (CET/CEST)","1086"
"Spain (ES)","07.01.2022 08:00 - 07.01.2022 09:00 (CET/CEST)","1178"
"Spain (ES)","07.01.2022 09:00 - 07.01.2022 10:00 (CET/CEST)","1234"
"Spain (ES)","07.01.2022 10:00 - 07.01.2022 11:00 (CET/CEST)","1232"
"Spain (ES)","07.01.2022 11:00 - 07.01.2022 12:00 (CET/CEST)","1170"
"Spain (ES)","07.01.2022 12:00 - 07.01.2022 13:00 (CET/CEST)","1130"
"Spain (ES)","07.01.2022 13:00 - 07.01.2022 14:00 (CET/CEST)","1122"
"Spain (ES)","07.01.2022 14:00 - 07.01.2022 15:00 (CET/CEST)","1105"
"Spain (ES)","07.01.2022 15:00 - 07.01.2022 16:00 (CET/CEST)","1068"
"Spain (ES)","07.01.2022 16:00 - 07.01.2022 17:00 (CET/CEST)","1177"
"Spain (ES)","07.01.2022 17:00 - 07.01.2022 18:00 (CET/CEST)","1236"
"Spain (ES)","07.01.2022 18:00 - 07.01.2022 19:00 (CET/CEST)","1312"
"Spain (ES)","07.01.2022 19:00 - 07.01.2022 20:00 (CET/CEST)","1333"
"Spain (ES)","07.01.2022 20:00 - 07.01.2022 21:00 (CET/CEST)","1334"
"Spain (ES)","07.01.2022 21:00 - 07.01.2022 22:00 (CET/CEST)","1304"
"Spain (ES)","07.01.2022 22:00 - 07.01.2022 23:00 (CET/CEST)","1228"
"Spain (ES)","07.01.2022 23:00 - 08.01.2022 00:00 (CET/CEST)","1172"
"Spain (ES)","08.01.2022 00:00 - 08.01.2022 01:00 (CET/CEST)","1167"
"Spain (ES)","08.01.2022 01:00 - 08.01.2022 02:00 (CET/CEST)","1108"
"Spain (ES)","08.01.2022 02:00 - 08.01.2022 03:00 (CET/CEST)","1148"
"Spain (ES)","08.01.2022 03:00 - 08.01.2022 04:00 (CET/CEST)","1162"
"Spain (ES)","08.01.2022 04:00 - 08.01.2022 05:00 (CET/CEST)","1110"
"Spain (ES)","08.01.2022 05:00 - 08.01.2022 06:00 (CET/CEST)","1127"
"Spain (ES)","08.01.2022 06:00 - 08.01.2022 07:00 (CET/CEST)","1119"
"Spain (ES)","08.01.2022 07:00 - 08.01.2022 08:00 (CET/CEST)","1122"
"Spain (ES)","08.01.2022 08:00 - 08.01.2022 09:00 (CET/CEST)","1136"
"Spain (ES)","08.01.2022 09:00 - 08.01.2022 10:00 (CET/CEST)","1138"
"Spain (ES)","08.01.2022 10:00 - 08.01.2022 11:00 (CET/CEST)","1161"
"Spain (ES)","08.01.2022 11:00 - 08.01.2022 12:00 (CET/CEST)","1188"
"Spain (ES)","08.01.2022 12:00 - 08.01.2022 13:00 (CET/CEST)","1185"
"Spain (ES)","08.01.2022 13:00 - 08.01.2022 14:00 (CET/CEST)","1106"
"Spain (ES)","08.01.2022 14:00 - 08.01.2022 15:00 (CET/CEST)","1092"
"Spain (ES)","08.01.2022 15:00 - 08.01.2022 16:00 (CET/CEST)","1094"
"Spain (ES)","08.01.2022 16:00 - 08.01.2022 17:00 (CET/CEST)","1066"
"Spain (ES)","08.01.2022 17:00 - 08.01.2022 18:00 (CET/CEST)","1124"
"Spain (ES)","08.01.2022 18:00 - 08.01.2022 19:00 (CET/CEST)","1197"
"Spain (ES)","08.01.2022 19:00 - 08.01.2022 20:00 (CET/CEST)","1239"
"Spain (ES)","08.01.2022 20:00 - 08.01.2022 21:00 (CET/CEST)","1242"
"Spain (ES)","08.01.2022 21:00 - 08.01.2022 22:00 (CET/CEST)","1154"
"Spain (ES)","08.01.2022 22:00 - 08.01.2022 23:00 (CET/CEST)","1089"
"Spain (ES)","08.01.2022 23:00 - 09.01.2022 00:00 (CET/CEST)","1073"
"Spain (ES)","09.01.2022 00:00 - 09.01.2022 01:00 (CET/CEST)","1044"
"Spain (ES)","09.01.2022 01:00 - 09.01.2022 02:00 (CET/CEST)","993"
"Spain (ES)","09.01.2022 02:00 - 09.01.2022 03:00 (CET/CEST)","1020"
"Spain (ES)","09.01.2022 03:00 - 09.01.2022 04:00 (CET/CEST)","1001"
"Spain (ES)","09.01.2022 04:00 - 09.01.2022 05:00 (CET/CEST)","999"
"Spain (ES)","09.01.2022 05:00 - 09.01.2022 06:00 (CET/CEST)","1029"
"Spain (ES)","09.01.2022 06:00 - 09.01.2022 07:00 (CET/CEST)","1057"
"Spain (ES)","09.01.2022 07:00 - 09.01.2022 08:00 (CET/CEST)","1057"
"Spain (ES)","09.01.2022 08:00 - 09.01.2022 09:00 (CET/CEST)","1062"
"Spain (ES)","09.01.2022 09:00 - 09.01.2022 10:00 (CET/CEST)","1106"
"Spain (ES)","09.01.2022 10:00 - 09.01.2022 11:00 (CET/CEST)","1095"
"Spain (ES)","09.01.2022 11:00 - 09.01.2022 12:00 (CET/CEST)","1123"
"Spain (ES)","09.01.2022 12:00 - 09.01.2022 13:00 (CET/CEST)","1094"
"Spain (ES)","09.01.2022 13:00 - 09.01.2022 14:00 (CET/CEST)","1098"
"Spain (ES)","09.01.2022 14:00 - 09.01.2022 15:00 (CET/CEST)","1084"
"Spain (ES)","09.01.2022 15:00 - 09.01.2022 16:00 (CET/CEST)","1081"
"Spain (ES)","09.01.2022 16:00 - 09.01.2022 17:00 (CET/CEST)","1102"
"Spain (ES)","09.01.2022 17:00 - 09.01.2022 18:00 (CET/CEST)","1121"
"Spain (ES)","09.01.2022 18:00 - 09.01.2022 19:00 (CET/CEST)","1211"
"Spain (ES)","09.01.2022 19:00 - 09.01.2022 20:00 (CET/CEST)","1202"
"Spain (ES)","09.01.2022 20:00 - 09.01.2022 21:00 (CET/CEST)","1340"
"Spain (ES)","09.01.2022 21:00 - 09.01.2022 22:00 (CET/CEST)","1326"
"Spain (ES)","09.01.2022 22:00 - 09.01.2022 23:00 (CET/CEST)","1326"
"Spain (ES)","09.01.2022 23:00 - 10.01.2022 00:00 (CET/CEST)","1301"
"Spain (ES)","10.01.2022 00:00 - 10.01.2022 01:00 (CET/CEST)","1133"
"Spain (ES)","10.01.2022 01:00 - 10.01.2022 02:00 (CET/CEST)","1117"
"Spain (ES)","10.01.2022 02:00 - 10.01.2022 03:00 (CET/CEST)","1143"
"Spain (ES)","10.01.2022 03:00 - 10.01.2022 04:00 (CET/CEST)","1140"
"Spain (ES)","10.01.2022 04:00 - 10.01.2022 05:00 (CET/CEST)","1141"
"Spain (ES)","10.01.2022 05:00 - 10.01.2022 06:00 (CET/CEST)","1149"
"Spain (ES)","10.01.2022 06:00 - 10.01.2022 07:00 (CET/CEST)","1284"
"Spain (ES)","10.01.2022 07:00 - 10.01.2022 08:00 (CET/CEST)","1307"
"Spain (ES)","10.01.2022 08:00 - 10.01.2022 09:00 (CET/CEST)","1322"
"Spain (ES)","10.01.2022 09:00 - 10.01.2022 10:00 (CET/CEST)","1337"
"Spain (ES)","10.01.2022 10:00 - 10.01.2022 11:00 (CET/CEST)","1346"
"Spain (ES)","10.01.2022 11:00 - 10.01.2022 12:00 (CET/CEST)","1358"
"Spain (ES)","10.01.2022 12:00 - 10.01.2022 13:00 (CET/CEST)","1330"
"Spain (ES)","10.01.2022 13:00 - 10.01.2022 14:00 (CET/CEST)","1328"
"Spain (ES)","10.01.2022 14:00 - 10.01.2022 15:00 (CET/CEST)","1316"
"Spain (ES)","10.01.2022 15:00 - 10.01.2022 16:00 (CET/CEST)","1321"
"Spain (ES)","10.01.2022 16:00 - 10.01.2022 17:00 (CET/CEST)","1337"
"Spain (ES)","10.01.2022 17:00 - 10.01.2022 18:00 (CET/CEST)","1389"
"Spain (ES)","10.01.2022 18:00 - 10.01.2022 19:00 (CET/CEST)","1383"
"Spain (ES)","10.01.2022 19:00 - 10.01.2022 20:00 (CET/CEST)","1382"
"Spain (ES)","10.01.2022 20:00 - 10.01.2022 21:00 (CET/CEST)","1412"
"Spain (ES)","10.01.2022 21:00 - 10.01.2022 22:00 (CET/CEST)","1379"
"Spain (ES)","10.01.2022 22:00 - 10.01.2022 23:00 (CET/CEST)","1329"
"Spain (ES)","10.01.2022 23:00 - 11.01.2022 00:00 (CET/CEST)","1183"
"Spain (ES)","11.01.2022 00:00 - 11.01.2022 01:00 (CET/CEST)","1306"
"Spain (ES)","11.01.2022 01:00 - 11.01.2022 02:00 (CET/CEST)","1237"
"Spain (ES)","11.01.2022 02:00 - 11.01.2022 03:00 (CET/CEST)","1139"
"Spain (ES)","11.01.2022 03:00 - 11.01.2022 04:00 (CET/CEST)","1178"
"Spain (ES)","11.01.2022 04:00 - 11.01.2022 05:00 (CET/CEST)","1215"
"Spain (ES)","11.01.2022 05:00 - 11.01.2022 06:00 (CET/CEST)","1108"
"Spain (ES)","11.01.2022 06:00 - 11.01.2022 07:00 (CET/CEST)","1157"
"Spain (ES)","11.01.2022 07:00 - 11.01.2022 08:00 (CET/CEST)","1230"
"Spain (ES)","11.01.2022 08:00 - 11.01.2022 09:00 (CET/CEST)","1270"
"Spain (ES)","11.01.2022 09:00 - 11.01.2022 10:00 (CET/CEST)","1258"
"Spain (ES)","11.01.2022 10:00 - 11.01.2022 11:00 (CET/CEST)","1207"
"Spain (ES)","11.01.2022 11:00 - 11.01.2022 12:00 (CET/CEST)","1223"
"Spain (ES)","11.01.2022 12:00 - 11.01.2022 13:00 (CET/CEST)","1193"
"Spain (ES)","11.01.2022 13:00 - 11.01.2022 14:00 (CET/CEST)","1174"
"Spain (ES)","11.01.2022 14:00 - 11.01.2022 15:00 (CET/CEST)","1157"
"Spain (ES)","11.01.2022 15:00 - 11.01.2022 16:00 (CET/CEST)","1146"
"Spain (ES)","11.01.2022 16:00 - 11.01.2022 17:00 (CET/CEST)","1233"
"Spain (ES)","11.01.2022 17:00 - 11.01.2022 18:00 (CET/CEST)","1310"
"Spain (ES)","11.01.2022 18:00 - 11.01.2022 19:00 (CET/CEST)","1333"
"Spain (ES)","11.01.2022 19:00 - 11.01.2022 20:00 (CET/CEST)","1411"
"Spain (ES)","11.01.2022 20:00 - 11.01.2022 21:00 (CET/CEST)","1408"
"Spain (ES)","11.01.2022 21:00 - 11.01.2022 22:00 (CET/CEST)","1341"
"Spain (ES)","11.01.2022 22:00 - 11.01.2022 23:00 (CET/CEST)","1262"
"Spain (ES)","11.01.2022 23:00 - 12.01.2022 00:00 (CET/CEST)","1203"
"Spain (ES)","12.01.2022 00:00 - 12.01.2022 01:00 (CET/CEST)","1247"
"Spain (ES)","12.01.2022 01:00 - 12.01.2022 02:00 (CET/CEST)","1190"
"Spain (ES)","12.01.2022 02:00 - 12.01.2022 03:00 (CET/CEST)","1176"
"Spain (ES)","12.01.2022 03:00 - 12.01.2022 04:00 (CET/CEST)","1162"
"Spain (ES)","12.01.2022 04:00 - 12.01.2022 05:00 (CET/CEST)","1156"
"Spain (ES)","12.01.2022 05:00 - 12.01.2022 06:00 (CET/CEST)","1167"
"Spain (ES)","12.01.2022 06:00 - 12.01.2022 07:00 (CET/CEST)","1227"
"Spain (ES)","12.01.2022 07:00 - 12.01.2022 08:00 (CET/CEST)","1321"
"Spain (ES)","12.01.2022 08:00 - 12.01.2022 09:00 (CET/CEST)","1239"
"Spain (ES)","12.01.2022 09:00 - 12.01.2022 10:00 (CET/CEST)","1231"
"Spain (ES)","12.01.2022 10:00 - 12.01.2022 11:00 (CET/CEST)","1237"
"Spain (ES)","12.01.2022 11:00 - 12.01.2022 12:00 (CET/CEST)","1244"
"Spain (ES)","12.01.2022 12:00 - 12.01.2022 13:00 (CET/CEST)","1279"
"Spain (ES)","12.01.2022 13:00 - 12.01.2022 14:00 (CET/CEST)","1206"
"Spain (ES)","12.01.2022 14:00 - 12.01.2022 15:00 (CET/CEST)","1197"
"Spain (ES)","12.01.2022 15:00 - 12.01.2022 16:00 (CET/CEST)","1226"
"Spain (ES)","12.01.2022 16:00 - 12.01.2022 17:00 (CET/CEST)","1283"
"Spain (ES)","12.01.2022 17:00 - 12.01.2022 18:00 (CET/CEST)","1389"
"Spain (ES)","12.01.2022 18:00 - 12.01.2022 19:00 (CET/CEST)","1422"
"Spain (ES)","12.01.2022 19:00 - 12.01.2022 20:00 (CET/CEST)","1427"
"Spain (ES)","12.01.2022 20:00 - 12.01.2022 21:00 (CET/CEST)","1412"
"Spain (ES)","12.01.2022 21:00 - 12.01.2022 22:00 (CET/CEST)","1337"
"Spain (ES)","12.01.2022 22:00 - 12.01.2022 23:00 (CET/CEST)","1289"
"Spain (ES)","12.01.2022 23:00 - 13.01.2022 00:00 (CET/CEST)","1292"
"Spain (ES)","13.01.2022 00:00 - 13.01.2022 01:00 (CET/CEST)","1261"
"Spain (ES)","13.01.2022 01:00 - 13.01.2022 02:00 (CET/CEST)","1181"
"Spain (ES)","13.01.2022 02:00 - 13.01.2022 03:00 (CET/CEST)","1174"
"Spain (ES)","13.01.2022 03:00 - 13.01.2022 04:00 (CET/CEST)","1168"
"Spain (ES)","13.01.2022 04:00 - 13.01.2022 05:00 (CET/CEST)","1164"
"Spain (ES)","13.01.2022 05:00 - 13.01.2022 06:00 (CET/CEST)","1189"
"Spain (ES)","13.01.2022 06:00 - 13.01.2022 07:00 (CET/CEST)","1181"
"Spain (ES)","13.01.2022 07:00 - 13.01.2022 08:00 (CET/CEST)","1287"
"Spain (ES)","13.01.2022 08:00 - 13.01.2022 09:00 (CET/CEST)","1299"
"Spain (ES)","13.01.2022 09:00 - 13.01.2022 10:00 (CET/CEST)","1286"
"Spain (ES)","13.01.2022 10:00 - 13.01.2022 11:00 (CET/CEST)","1297"
"Spain (ES)","13.01.2022 11:00 - 13.01.2022 12:00 (CET/CEST)","1297"
"Spain (ES)","13.01.2022 12:00 - 13.01.2022 13:00 (CET/CEST)","1287"
"Spain (ES)","13.01.2022 13:00 - 13.01.2022 14:00 (CET/CEST)","1272"
