"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Italy (IT)","06.01.2022 11:00 - 06.01.2022 12:00 (CET/CEST)","2796"
"Italy (IT)","06.01.2022 12:00 - 06.01.2022 13:00 (CET/CEST)","2507"
"Italy (IT)","06.01.2022 13:00 - 06.01.2022 14:00 (CET/CEST)","2073"
"Italy (IT)","06.01.2022 14:00 - 06.01.2022 15:00 (CET/CEST)","2037"
"Italy (IT)","06.01.2022 15:00 - 06.01.2022 16:00 (CET/CEST)","2214"
"Italy (IT)","06.01.2022 16:00 - 06.01.2022 17:00 (CET/CEST)","2593"
"Italy (IT)","06.01.2022 17:00 - 06.01.2022 18:00 (CET/CEST)","3959"
"Italy (IT)","06.01.2022 18:00 - 06.01.2022 19:00 (CET/CEST)","4691"
"Italy (IT)","06.01.2022 19:00 - 06.01.2022 20:00 (CET/CEST)","3874"
"Italy (IT)","06.01.2022 20:00 - 06.01.2022 21:00 (CET/CEST)","2870"
"Italy (IT)","06.01.2022 21:00 - 06.01.2022 22:00 (CET/CEST)","2303"
"Italy (IT)","06.01.2022 22:00 - 06.01.2022 23:00 (CET/CEST)","2129"
"Italy (IT)","06.01.2022 23:00 - 07.01.2022 00:00 (CET/CEST)","1936"
"Italy (IT)","07.01.2022 00:00 - 07.01.2022 01:00 (CET/CEST)","1834"
"Italy (IT)","07.01.2022 01:00 - 07.01.2022 02:00 (CET/CEST)","1692"
"Italy (IT)","07.01.2022 02:00 - 07.01.2022 03:00 (CET/CEST)","1672"
"Italy (IT)","07.01.2022 03:00 - 07.01.2022 04:00 (CET/CEST)","1688"
"Italy (IT)","07.01.2022 04:00 - 07.01.2022 05:00 (CET/CEST)","1700"
"Italy (IT)","07.01.2022 05:00 - 07.01.2022 06:00 (CET/CEST)","1871"
"Italy (IT)","07.01.2022 06:00 - 07.01.2022 07:00 (CET/CEST)","1968"
"Italy (IT)","07.01.2022 07:00 - 07.01.2022 08:00 (CET/CEST)","2435"
"Italy (IT)","07.01.2022 08:00 - 07.01.2022 09:00 (CET/CEST)","3106"
"Italy (IT)","07.01.2022 09:00 - 07.01.2022 10:00 (CET/CEST)","3602"
"Italy (IT)","07.01.2022 10:00 - 07.01.2022 11:00 (CET/CEST)","3389"
"Italy (IT)","07.01.2022 11:00 - 07.01.2022 12:00 (CET/CEST)","2487"
"Italy (IT)","07.01.2022 12:00 - 07.01.2022 13:00 (CET/CEST)","2292"
"Italy (IT)","07.01.2022 13:00 - 07.01.2022 14:00 (CET/CEST)","2183"
"Italy (IT)","07.01.2022 14:00 - 07.01.2022 15:00 (CET/CEST)","2186"
"Italy (IT)","07.01.2022 15:00 - 07.01.2022 16:00 (CET/CEST)","2564"
"Italy (IT)","07.01.2022 16:00 - 07.01.2022 17:00 (CET/CEST)","3326"
"Italy (IT)","07.01.2022 17:00 - 07.01.2022 18:00 (CET/CEST)","4581"
"Italy (IT)","07.01.2022 18:00 - 07.01.2022 19:00 (CET/CEST)","4983"
"Italy (IT)","07.01.2022 19:00 - 07.01.2022 20:00 (CET/CEST)","4651"
"Italy (IT)","07.01.2022 20:00 - 07.01.2022 21:00 (CET/CEST)","3766"
"Italy (IT)","07.01.2022 21:00 - 07.01.2022 22:00 (CET/CEST)","2579"
"Italy (IT)","07.01.2022 22:00 - 07.01.2022 23:00 (CET/CEST)","2180"
"Italy (IT)","07.01.2022 23:00 - 08.01.2022 00:00 (CET/CEST)","1975"
"Italy (IT)","08.01.2022 00:00 - 08.01.2022 01:00 (CET/CEST)","1813"
"Italy (IT)","08.01.2022 01:00 - 08.01.2022 02:00 (CET/CEST)","1635"
"Italy (IT)","08.01.2022 02:00 - 08.01.2022 03:00 (CET/CEST)","1545"
"Italy (IT)","08.01.2022 03:00 - 08.01.2022 04:00 (CET/CEST)","1507"
"Italy (IT)","08.01.2022 04:00 - 08.01.2022 05:00 (CET/CEST)","1517"
"Italy (IT)","08.01.2022 05:00 - 08.01.2022 06:00 (CET/CEST)","1557"
"Italy (IT)","08.01.2022 06:00 - 08.01.2022 07:00 (CET/CEST)","1657"
"Italy (IT)","08.01.2022 07:00 - 08.01.2022 08:00 (CET/CEST)","1948"
"Italy (IT)","08.01.2022 08:00 - 08.01.2022 09:00 (CET/CEST)","2684"
"Italy (IT)","08.01.2022 09:00 - 08.01.2022 10:00 (CET/CEST)","2513"
"Italy (IT)","08.01.2022 10:00 - 08.01.2022 11:00 (CET/CEST)","2454"
"Italy (IT)","08.01.2022 11:00 - 08.01.2022 12:00 (CET/CEST)","2074"
"Italy (IT)","08.01.2022 12:00 - 08.01.2022 13:00 (CET/CEST)","1846"
"Italy (IT)","08.01.2022 13:00 - 08.01.2022 14:00 (CET/CEST)","1786"
"Italy (IT)","08.01.2022 14:00 - 08.01.2022 15:00 (CET/CEST)","1759"
"Italy (IT)","08.01.2022 15:00 - 08.01.2022 16:00 (CET/CEST)","1789"
"Italy (IT)","08.01.2022 16:00 - 08.01.2022 17:00 (CET/CEST)","2281"
"Italy (IT)","08.01.2022 17:00 - 08.01.2022 18:00 (CET/CEST)","3414"
"Italy (IT)","08.01.2022 18:00 - 08.01.2022 19:00 (CET/CEST)","3746"
"Italy (IT)","08.01.2022 19:00 - 08.01.2022 20:00 (CET/CEST)","3691"
"Italy (IT)","08.01.2022 20:00 - 08.01.2022 21:00 (CET/CEST)","3187"
"Italy (IT)","08.01.2022 21:00 - 08.01.2022 22:00 (CET/CEST)","2327"
"Italy (IT)","08.01.2022 22:00 - 08.01.2022 23:00 (CET/CEST)","1935"
"Italy (IT)","08.01.2022 23:00 - 09.01.2022 00:00 (CET/CEST)","1745"
"Italy (IT)","09.01.2022 00:00 - 09.01.2022 01:00 (CET/CEST)","1782"
"Italy (IT)","09.01.2022 01:00 - 09.01.2022 02:00 (CET/CEST)","1712"
"Italy (IT)","09.01.2022 02:00 - 09.01.2022 03:00 (CET/CEST)","1554"
"Italy (IT)","09.01.2022 03:00 - 09.01.2022 04:00 (CET/CEST)","1551"
"Italy (IT)","09.01.2022 04:00 - 09.01.2022 05:00 (CET/CEST)","1593"
"Italy (IT)","09.01.2022 05:00 - 09.01.2022 06:00 (CET/CEST)","1635"
"Italy (IT)","09.01.2022 06:00 - 09.01.2022 07:00 (CET/CEST)","1666"
"Italy (IT)","09.01.2022 07:00 - 09.01.2022 08:00 (CET/CEST)","1799"
"Italy (IT)","09.01.2022 08:00 - 09.01.2022 09:00 (CET/CEST)","2430"
"Italy (IT)","09.01.2022 09:00 - 09.01.2022 10:00 (CET/CEST)","2260"
"Italy (IT)","09.01.2022 10:00 - 09.01.2022 11:00 (CET/CEST)","2759"
"Italy (IT)","09.01.2022 11:00 - 09.01.2022 12:00 (CET/CEST)","3179"
"Italy (IT)","09.01.2022 12:00 - 09.01.2022 13:00 (CET/CEST)","3008"
"Italy (IT)","09.01.2022 13:00 - 09.01.2022 14:00 (CET/CEST)","3180"
"Italy (IT)","09.01.2022 14:00 - 09.01.2022 15:00 (CET/CEST)","3237"
"Italy (IT)","09.01.2022 15:00 - 09.01.2022 16:00 (CET/CEST)","2931"
"Italy (IT)","09.01.2022 16:00 - 09.01.2022 17:00 (CET/CEST)","2736"
"Italy (IT)","09.01.2022 17:00 - 09.01.2022 18:00 (CET/CEST)","3470"
"Italy (IT)","09.01.2022 18:00 - 09.01.2022 19:00 (CET/CEST)","3717"
"Italy (IT)","09.01.2022 19:00 - 09.01.2022 20:00 (CET/CEST)","3291"
"Italy (IT)","09.01.2022 20:00 - 09.01.2022 21:00 (CET/CEST)","3187"
"Italy (IT)","09.01.2022 21:00 - 09.01.2022 22:00 (CET/CEST)","2677"
"Italy (IT)","09.01.2022 22:00 - 09.01.2022 23:00 (CET/CEST)","2102"
"Italy (IT)","09.01.2022 23:00 - 10.01.2022 00:00 (CET/CEST)","1782"
"Italy (IT)","10.01.2022 00:00 - 10.01.2022 01:00 (CET/CEST)","1743"
"Italy (IT)","10.01.2022 01:00 - 10.01.2022 02:00 (CET/CEST)","1564"
"Italy (IT)","10.01.2022 02:00 - 10.01.2022 03:00 (CET/CEST)","1544"
"Italy (IT)","10.01.2022 03:00 - 10.01.2022 04:00 (CET/CEST)","1536"
"Italy (IT)","10.01.2022 04:00 - 10.01.2022 05:00 (CET/CEST)","1512"
"Italy (IT)","10.01.2022 05:00 - 10.01.2022 06:00 (CET/CEST)","1531"
"Italy (IT)","10.01.2022 06:00 - 10.01.2022 07:00 (CET/CEST)","1848"
"Italy (IT)","10.01.2022 07:00 - 10.01.2022 08:00 (CET/CEST)","2712"
"Italy (IT)","10.01.2022 08:00 - 10.01.2022 09:00 (CET/CEST)","4442"
"Italy (IT)","10.01.2022 09:00 - 10.01.2022 10:00 (CET/CEST)","4791"
"Italy (IT)","10.01.2022 10:00 - 10.01.2022 11:00 (CET/CEST)","4263"
"Italy (IT)","10.01.2022 11:00 - 10.01.2022 12:00 (CET/CEST)","3725"
"Italy (IT)","10.01.2022 12:00 - 10.01.2022 13:00 (CET/CEST)","2507"
"Italy (IT)","10.01.2022 13:00 - 10.01.2022 14:00 (CET/CEST)","2414"
"Italy (IT)","10.01.2022 14:00 - 10.01.2022 15:00 (CET/CEST)","2508"
"Italy (IT)","10.01.2022 15:00 - 10.01.2022 16:00 (CET/CEST)","2817"
"Italy (IT)","10.01.2022 16:00 - 10.01.2022 17:00 (CET/CEST)","3206"
"Italy (IT)","10.01.2022 17:00 - 10.01.2022 18:00 (CET/CEST)","4557"
"Italy (IT)","10.01.2022 18:00 - 10.01.2022 19:00 (CET/CEST)","4542"
"Italy (IT)","10.01.2022 19:00 - 10.01.2022 20:00 (CET/CEST)","3908"
"Italy (IT)","10.01.2022 20:00 - 10.01.2022 21:00 (CET/CEST)","2871"
"Italy (IT)","10.01.2022 21:00 - 10.01.2022 22:00 (CET/CEST)","2083"
"Italy (IT)","10.01.2022 22:00 - 10.01.2022 23:00 (CET/CEST)","1805"
"Italy (IT)","10.01.2022 23:00 - 11.01.2022 00:00 (CET/CEST)","1722"
"Italy (IT)","11.01.2022 00:00 - 11.01.2022 01:00 (CET/CEST)","1608"
"Italy (IT)","11.01.2022 01:00 - 11.01.2022 02:00 (CET/CEST)","1523"
"Italy (IT)","11.01.2022 02:00 - 11.01.2022 03:00 (CET/CEST)","1465"
"Italy (IT)","11.01.2022 03:00 - 11.01.2022 04:00 (CET/CEST)","1478"
"Italy (IT)","11.01.2022 04:00 - 11.01.2022 05:00 (CET/CEST)","1444"
"Italy (IT)","11.01.2022 05:00 - 11.01.2022 06:00 (CET/CEST)","1527"
"Italy (IT)","11.01.2022 06:00 - 11.01.2022 07:00 (CET/CEST)","1897"
"Italy (IT)","11.01.2022 07:00 - 11.01.2022 08:00 (CET/CEST)","3170"
"Italy (IT)","11.01.2022 08:00 - 11.01.2022 09:00 (CET/CEST)","4513"
"Italy (IT)","11.01.2022 09:00 - 11.01.2022 10:00 (CET/CEST)","4311"
"Italy (IT)","11.01.2022 10:00 - 11.01.2022 11:00 (CET/CEST)","3197"
"Italy (IT)","11.01.2022 11:00 - 11.01.2022 12:00 (CET/CEST)","2734"
"Italy (IT)","11.01.2022 12:00 - 11.01.2022 13:00 (CET/CEST)","2482"
"Italy (IT)","11.01.2022 13:00 - 11.01.2022 14:00 (CET/CEST)","2307"
"Italy (IT)","11.01.2022 14:00 - 11.01.2022 15:00 (CET/CEST)","2128"
"Italy (IT)","11.01.2022 15:00 - 11.01.2022 16:00 (CET/CEST)","2850"
"Italy (IT)","11.01.2022 16:00 - 11.01.2022 17:00 (CET/CEST)","3351"
"Italy (IT)","11.01.2022 17:00 - 11.01.2022 18:00 (CET/CEST)","4696"
"Italy (IT)","11.01.2022 18:00 - 11.01.2022 19:00 (CET/CEST)","4544"
"Italy (IT)","11.01.2022 19:00 - 11.01.2022 20:00 (CET/CEST)","3893"
"Italy (IT)","11.01.2022 20:00 - 11.01.2022 21:00 (CET/CEST)","2628"
"Italy (IT)","11.01.2022 21:00 - 11.01.2022 22:00 (CET/CEST)","2034"
"Italy (IT)","11.01.2022 22:00 - 11.01.2022 23:00 (CET/CEST)","1660"
"Italy (IT)","11.01.2022 23:00 - 12.01.2022 00:00 (CET/CEST)","1609"
"Italy (IT)","12.01.2022 00:00 - 12.01.2022 01:00 (CET/CEST)","1570"
"Italy (IT)","12.01.2022 01:00 - 12.01.2022 02:00 (CET/CEST)","1396"
"Italy (IT)","12.01.2022 02:00 - 12.01.2022 03:00 (CET/CEST)","1348"
"Italy (IT)","12.01.2022 03:00 - 12.01.2022 04:00 (CET/CEST)","1308"
"Italy (IT)","12.01.2022 04:00 - 12.01.2022 05:00 (CET/CEST)","1349"
"Italy (IT)","12.01.2022 05:00 - 12.01.2022 06:00 (CET/CEST)","1383"
"Italy (IT)","12.01.2022 06:00 - 12.01.2022 07:00 (CET/CEST)","1557"
"Italy (IT)","12.01.2022 07:00 - 12.01.2022 08:00 (CET/CEST)","3098"
"Italy (IT)","12.01.2022 08:00 - 12.01.2022 09:00 (CET/CEST)","3956"
"Italy (IT)","12.01.2022 09:00 - 12.01.2022 10:00 (CET/CEST)","3651"
"Italy (IT)","12.01.2022 10:00 - 12.01.2022 11:00 (CET/CEST)","2937"
"Italy (IT)","12.01.2022 11:00 - 12.01.2022 12:00 (CET/CEST)","1955"
"Italy (IT)","12.01.2022 12:00 - 12.01.2022 13:00 (CET/CEST)","1662"
"Italy (IT)","12.01.2022 13:00 - 12.01.2022 14:00 (CET/CEST)","1700"
"Italy (IT)","12.01.2022 14:00 - 12.01.2022 15:00 (CET/CEST)","1851"
"Italy (IT)","12.01.2022 15:00 - 12.01.2022 16:00 (CET/CEST)","2562"
"Italy (IT)","12.01.2022 16:00 - 12.01.2022 17:00 (CET/CEST)","3719"
"Italy (IT)","12.01.2022 17:00 - 12.01.2022 18:00 (CET/CEST)","4491"
"Italy (IT)","12.01.2022 18:00 - 12.01.2022 19:00 (CET/CEST)","4496"
"Italy (IT)","12.01.2022 19:00 - 12.01.2022 20:00 (CET/CEST)","4001"
"Italy (IT)","12.01.2022 20:00 - 12.01.2022 21:00 (CET/CEST)","3471"
"Italy (IT)","12.01.2022 21:00 - 12.01.2022 22:00 (CET/CEST)","1975"
"Italy (IT)","12.01.2022 22:00 - 12.01.2022 23:00 (CET/CEST)","1539"
"Italy (IT)","12.01.2022 23:00 - 13.01.2022 00:00 (CET/CEST)","1498"
"Italy (IT)","13.01.2022 00:00 - 13.01.2022 01:00 (CET/CEST)","1516"
