"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"France (FR)","07.01.2020 03:00 - 07.01.2020 04:00 (CET/CEST)","3945"
"France (FR)","07.01.2020 04:00 - 07.01.2020 05:00 (CET/CEST)","3966"
"France (FR)","07.01.2020 05:00 - 07.01.2020 06:00 (CET/CEST)","4117"
"France (FR)","07.01.2020 06:00 - 07.01.2020 07:00 (CET/CEST)","4661"
"France (FR)","07.01.2020 07:00 - 07.01.2020 08:00 (CET/CEST)","5515"
"France (FR)","07.01.2020 08:00 - 07.01.2020 09:00 (CET/CEST)","6177"
"France (FR)","07.01.2020 09:00 - 07.01.2020 10:00 (CET/CEST)","6494"
"France (FR)","07.01.2020 10:00 - 07.01.2020 11:00 (CET/CEST)","6468"
"France (FR)","07.01.2020 11:00 - 07.01.2020 12:00 (CET/CEST)","6342"
"France (FR)","07.01.2020 12:00 - 07.01.2020 13:00 (CET/CEST)","6078"
"France (FR)","07.01.2020 13:00 - 07.01.2020 14:00 (CET/CEST)","5837"
"France (FR)","07.01.2020 14:00 - 07.01.2020 15:00 (CET/CEST)","5439"
"France (FR)","07.01.2020 15:00 - 07.01.2020 16:00 (CET/CEST)","5330"
"France (FR)","07.01.2020 16:00 - 07.01.2020 17:00 (CET/CEST)","5551"
"France (FR)","07.01.2020 17:00 - 07.01.2020 18:00 (CET/CEST)","6037"
"France (FR)","07.01.2020 18:00 - 07.01.2020 19:00 (CET/CEST)","6354"
"France (FR)","07.01.2020 19:00 - 07.01.2020 20:00 (CET/CEST)","6397"
"France (FR)","07.01.2020 20:00 - 07.01.2020 21:00 (CET/CEST)","6025"
"France (FR)","07.01.2020 21:00 - 07.01.2020 22:00 (CET/CEST)","5388"
"France (FR)","07.01.2020 22:00 - 07.01.2020 23:00 (CET/CEST)","5039"
"France (FR)","07.01.2020 23:00 - 08.01.2020 00:00 (CET/CEST)","4792"
"France (FR)","08.01.2020 00:00 - 08.01.2020 01:00 (CET/CEST)","4397"
"France (FR)","08.01.2020 01:00 - 08.01.2020 02:00 (CET/CEST)","4050"
"France (FR)","08.01.2020 02:00 - 08.01.2020 03:00 (CET/CEST)","3887"
"France (FR)","08.01.2020 03:00 - 08.01.2020 04:00 (CET/CEST)","3781"
"France (FR)","08.01.2020 04:00 - 08.01.2020 05:00 (CET/CEST)","3777"
"France (FR)","08.01.2020 05:00 - 08.01.2020 06:00 (CET/CEST)","3944"
"France (FR)","08.01.2020 06:00 - 08.01.2020 07:00 (CET/CEST)","4310"
"France (FR)","08.01.2020 07:00 - 08.01.2020 08:00 (CET/CEST)","4954"
"France (FR)","08.01.2020 08:00 - 08.01.2020 09:00 (CET/CEST)","5490"
"France (FR)","08.01.2020 09:00 - 08.01.2020 10:00 (CET/CEST)","5695"
"France (FR)","08.01.2020 10:00 - 08.01.2020 11:00 (CET/CEST)","5831"
"France (FR)","08.01.2020 11:00 - 08.01.2020 12:00 (CET/CEST)","5825"
"France (FR)","08.01.2020 12:00 - 08.01.2020 13:00 (CET/CEST)","5852"
"France (FR)","08.01.2020 13:00 - 08.01.2020 14:00 (CET/CEST)","5567"
"France (FR)","08.01.2020 14:00 - 08.01.2020 15:00 (CET/CEST)","5490"
"France (FR)","08.01.2020 15:00 - 08.01.2020 16:00 (CET/CEST)","5666"
"France (FR)","08.01.2020 16:00 - 08.01.2020 17:00 (CET/CEST)","5964"
"France (FR)","08.01.2020 17:00 - 08.01.2020 18:00 (CET/CEST)","6410"
"France (FR)","08.01.2020 18:00 - 08.01.2020 19:00 (CET/CEST)","6808"
"France (FR)","08.01.2020 19:00 - 08.01.2020 20:00 (CET/CEST)","6693"
"France (FR)","08.01.2020 20:00 - 08.01.2020 21:00 (CET/CEST)","6419"
"France (FR)","08.01.2020 21:00 - 08.01.2020 22:00 (CET/CEST)","5938"
"France (FR)","08.01.2020 22:00 - 08.01.2020 23:00 (CET/CEST)","5759"
"France (FR)","08.01.2020 23:00 - 09.01.2020 00:00 (CET/CEST)","5418"
"France (FR)","09.01.2020 00:00 - 09.01.2020 01:00 (CET/CEST)","5036"
"France (FR)","09.01.2020 01:00 - 09.01.2020 02:00 (CET/CEST)","4415"
"France (FR)","09.01.2020 02:00 - 09.01.2020 03:00 (CET/CEST)","4038"
"France (FR)","09.01.2020 03:00 - 09.01.2020 04:00 (CET/CEST)","3896"
"France (FR)","09.01.2020 04:00 - 09.01.2020 05:00 (CET/CEST)","3919"
"France (FR)","09.01.2020 05:00 - 09.01.2020 06:00 (CET/CEST)","3958"
"France (FR)","09.01.2020 06:00 - 09.01.2020 07:00 (CET/CEST)","4415"
"France (FR)","09.01.2020 07:00 - 09.01.2020 08:00 (CET/CEST)","5167"
"France (FR)","09.01.2020 08:00 - 09.01.2020 09:00 (CET/CEST)","5779"
"France (FR)","09.01.2020 09:00 - 09.01.2020 10:00 (CET/CEST)","6067"
